Item 1;Item 2;Item 3;Item 4;Item 5;Item 6;Item 7;Item 8;Item 9;Item 10;Item 11;Item 12;Item 13;Item 14;Item 15;Item 16;Item 17;Item 18;Item 19;Item 20
D;B;A;D;B;B;B;C;D;A;A;D;A;A;D;A;D;C;C;D
D;B;A;D;B;C;B;C;D;A;A;D;A;A;C;A;C;C;C;D
D;B;A;D;C;C;B;C;D;A;A;D;A;A;A;A;C;C;C;D
D;B;A;D;B;C;C;C;D;A;A;D;A;A;C;A;C;C;C;D
D;B;A;D;B;C;C;C;D;A;A;D;A;A;D;A;C;C;C;D
D;B;A;D;B;C;C;C;D;A;A;D;A;A;C;A;C;C;C;D
D;B;A;D;B;C;C;C;D;A;A;D;A;A;C;A;C;C;C;D
B;B;A;C;B;B;B;C;D;A;A;D;A;A;C;A;A;C;D;D
D;B;A;D;B;C;B;C;D;A;A;D;A;A;C;A;D;C;C;D
D;B;A;C;B;B;B;C;D;A;A;D;A;A;C;A;C;C;C;D
B;B;A;D;B;C;B;C;D;A;A;D;A;A;C;A;A;C;C;D
D;B;A;C;B;B;C;C;A;A;A;D;A;A;D;A;C;C;C;D
D;B;A;D;B;B;C;C;D;C;A;E;C;C;C;A;C;C;C;D
C;B;A;D;B;B;B;C;D;C;A;D;D;C;D;A;A;C;C;D
D;B;A;D;A;B;B;C;D;A;A;D;A;A;C;A;C;C;C;D
B;A;B;D;D;A;C;A;D;A;A;D;B;C;B;A;B;B;C;C
B;B;A;D;C;B;B;A;D;A;A;D;A;C;C;A;B;B;C;D
D;B;C;D;B;B;B;C;A;A;A;D;A;A;A;C;D;C;A;D
C;B;A;C;C;B;C;C;D;A;A;D;A;A;C;A;B;C;C;C
D;A;C;D;B;B;A;B;D;A;A;D;C;A;C;A;A;C;C;D
C;A;A;D;D;B;B;C;D;B;A;D;A;D;B;A;B;C;D;C
D;B;A;C;D;B;B;B;D;B;A;D;A;A;D;A;C;C;D;D
D;B;A;D;D;B;C;A;D;A;B;D;A;A;C;D;B;C;C;D
C;B;B;C;D;A;B;A;D;A;A;A;D;A;C;A;C;C;C;C
D;B;A;C;B;A;C;B;A;B;C;A;A;A;B;B;A;B;A;A
D;B;A;C;B;B;C;C;A;B;C;D;C;B;B;A;C;C;C;C
D;C;C;C;D;B;C;A;D;A;A;D;D;A;B;A;A;A;C;D
D;B;A;C;D;C;B;C;D;A;A;D;A;A;D;A;B;C;C;C
B;A;A;C;D;C;C;A;A;A;A;E;A;A;A;D;A;A;C;D
D;B;A;C;C;C;C;C;D;A;A;D;C;D;B;A;C;C;C;D
C;B;A;D;D;B;C;C;A;B;A;D;C;A;B;B;B;A;C;D
C;B;A;C;B;A;C;C;B;A;A;E;A;C;C;A;B;C;C;C
D;B;A;D;C;C;C;C;A;C;A;D;A;A;C;A;D;C;C;D
D;B;A;C;C;B;C;C;A;B;A;E;D;B;C;A;C;C;C;C
D;A;B;C;D;B;C;C;D;B;C;E;D;A;D;B;B;C;C;D
D;B;C;C;D;C;C;A;D;A;A;C;C;C;A;C;C;C;C;C
D;B;C;C;D;C;C;A;D;A;A;D;C;C;B;C;C;C;C;D
C;B;C;C;D;C;C;B;D;C;A;C;C;A;D;A;A;C;C;D
D;C;A;C;A;B;B;C;A;B;A;D;B;D;C;B;A;C;C;C
C;A;A;C;A;B;A;C;A;A;A;A;C;C;C;C;C;B;B;D
D;B;A;C;B;B;C;C;A;A;A;E;A;A;A;A;A;C;D;D
D;B;A;C;C;B;C;B;A;A;A;D;D;A;C;D;C;C;C;D
D;B;A;C;B;C;C;B;D;A;C;E;D;A;A;C;B;C;C;D
D;B;A;D;C;C;B;C;B;A;A;D;A;A;D;A;B;C;C;D
B;B;A;C;B;B;C;C;A;C;B;D;C;A;D;A;A;C;C;D
D;B;A;C;B;C;C;C;D;A;A;D;A;A;C;A;B;C;C;D
D;B;A;C;B;C;B;C;D;C;C;B;D;A;B;A;A;C;C;D
D;A;A;C;D;A;C;A;A;C;A;D;D;A;B;B;C;C;C;D
D;C;A;D;B;C;A;C;A;A;A;D;B;A;B;A;A;B;C;C
D;A;A;C;C;C;C;C;D;A;A;D;A;A;A;A;C;C;C;D
D;B;A;D;B;C;B;C;D;A;A;D;A;A;C;A;C;C;C;D
D;C;A;C;C;C;A;C;A;A;A;D;A;A;B;B;B;C;C;D
D;B;A;C;B;C;C;A;A;A;A;D;A;A;C;A;C;C;C;C
D;B;A;C;A;C;B;C;A;A;A;D;A;A;B;A;B;C;C;C
C;A;A;A;C;A;C;C;B;C;A;C;C;C;B;B;B;B;C;C
D;A;C;D;C;C;B;A;A;A;A;D;D;A;C;A;A;C;C;D
D;B;A;C;B;A;B;C;A;C;C;D;D;A;A;A;A;C;C;B
C;B;A;C;C;B;C;B;D;A;A;C;C;C;A;C;A;A;C;B
D;B;A;C;B;B;A;C;A;A;C;D;C;A;D;A;B;C;C;D
D;A;A;C;B;B;C;A;A;B;A;A;A;A;A;B;C;C;C;C
D;B;A;C;B;C;C;C;A;A;A;D;A;A;B;A;A;C;C;D
D;B;A;D;B;B;C;C;D;A;B;D;B;A;B;B;A;C;B;D
D;B;A;D;C;B;C;A;A;C;A;D;A;C;A;A;B;D;B;C
D;B;A;D;A;C;C;C;B;A;A;D;A;A;C;D;C;C;C;D
D;B;B;A;A;B;B;B;B;A;B;D;B;D;B;B;A;A;B;B
D;B;A;D;B;B;C;C;D;A;A;D;A;A;C;A;B;C;C;D
C;B;A;C;B;C;B;C;A;A;A;D;A;A;C;A;B;C;C;D
D;B;A;C;D;C;B;C;B;A;C;D;A;A;C;A;B;C;C;D
D;B;A;D;B;C;C;C;D;A;A;D;A;A;C;D;C;C;C;D
D;B;A;D;B;C;C;C;B;A;A;E;A;C;C;A;A;C;C;D
D;A;A;C;D;A;C;A;A;A;A;D;C;D;D;B;B;B;A;C
D;B;A;C;D;C;C;C;D;A;A;D;A;A;C;A;A;C;C;D
C;B;A;D;A;C;C;C;D;A;A;D;A;A;C;A;A;C;A;D
D;B;A;C;B;C;C;C;A;C;A;D;D;A;D;A;C;C;C;C
