"","V1","V2","V3","V4","V5"
"1",4,4,4,6,6
"2",1,1,1,5,2
"3",4,4,4,4,4
"4",6,4,6,6,3
"5",5,6,6,5,1
"6",2,3,2,1,2
"7",2,4,2,4,NA
"8",5,5,5,3,2
"9",5,6,4,5,5
"10",3,2,2,2,2
"11",4,6,5,2,4
"12",3,5,2,2,2
"13",1,3,5,4,4
"14",3,4,2,2,6
"15",3,1,2,1,1
"16",5,5,4,4,4
"17",1,1,1,1,1
"18",2,3,3,1,1
"19",1,1,1,5,1
"20",3,3,2,3,3
"21",2,2,2,4,2
"22",2,2,5,6,6
"23",1,2,2,1,1
"24",3,2,3,5,3
"25",4,6,5,5,1
"26",2,3,2,3,2
"27",4,5,2,4,1
"28",6,6,5,4,4
"29",5,6,6,6,1
"30",4,4,4,3,2
"31",2,2,1,1,3
"32",4,4,1,1,3
"33",3,3,2,4,2
"34",5,4,6,3,4
"35",2,3,3,2,5
"36",2,4,2,4,4
"37",1,4,1,1,1
"38",2,4,4,5,2
"39",5,5,6,4,2
"40",1,2,2,4,3
"41",3,4,4,4,3
"42",2,3,2,5,6
"43",1,2,2,3,1
"44",5,5,2,6,3
"45",4,4,4,4,3
"46",2,2,5,4,2
"47",4,5,2,2,1
"48",1,4,4,1,2
"49",6,6,4,4,1
"50",5,6,6,5,3
"51",5,4,5,3,6
"52",5,4,3,3,4
"53",3,3,4,3,5
"54",3,4,4,4,6
"55",6,6,6,5,6
"56",3,5,1,1,1
"57",2,3,2,2,1
"58",1,1,2,3,1
"59",2,5,4,2,6
"60",4,4,4,4,2
"61",6,6,6,1,6
"62",1,2,3,3,3
"63",6,6,6,6,6
"64",4,2,4,5,4
"65",4,3,2,4,2
"66",3,4,2,3,3
"67",1,4,5,5,2
"68",3,4,2,4,1
"69",5,5,5,5,1
"70",2,5,4,4,2
"71",2,3,2,2,3
"72",2,3,2,3,1
"73",4,2,2,3,1
"74",4,5,4,5,5
"75",3,3,4,3,2
"76",5,4,5,5,2
"77",2,2,2,2,2
"78",2,3,2,3,5
"79",1,1,1,2,1
"80",5,5,4,4,4
"81",1,3,3,2,2
"82",2,2,2,4,6
"83",4,5,4,4,1
"84",1,2,1,1,1
"85",3,4,4,1,3
"86",2,2,1,1,2
"87",2,2,3,5,4
"88",2,2,2,2,1
"89",3,3,2,3,1
"90",3,5,3,2,4
"91",3,3,1,2,6
"92",2,2,2,2,2
"93",3,3,3,2,4
"94",2,4,2,2,5
"95",1,1,1,1,1
"96",3,4,3,2,5
"97",1,4,2,5,1
"98",2,2,2,2,2
"99",1,2,2,1,1
"100",4,4,4,4,NA
"101",1,4,1,2,1
"102",5,5,5,4,5
"103",1,1,5,4,1
"104",5,5,5,4,1
"105",2,4,1,2,2
"106",5,3,2,2,2
"107",1,4,3,2,1
"108",2,4,2,4,2
"109",1,2,1,1,1
"110",1,1,2,2,3
"111",3,4,3,2,2
"112",4,5,2,4,2
"113",2,4,5,4,5
"114",4,4,2,3,1
"115",4,4,5,2,2
"116",2,2,2,4,2
"117",4,5,6,3,5
"118",4,5,4,2,5
"119",2,3,4,4,2
"120",4,4,4,3,4
"121",5,5,4,3,3
"122",1,1,2,1,1
"123",3,6,1,5,1
"124",4,4,4,4,1
"125",6,6,5,5,4
"126",5,5,4,6,4
"127",5,6,6,1,5
"128",5,5,5,5,5
"129",2,3,3,3,1
"130",5,6,3,2,4
"131",2,3,2,3,2
"132",5,4,6,2,4
"133",4,5,6,5,6
"134",6,6,6,6,5
"135",2,2,5,4,3
"136",1,5,4,4,3
"137",3,4,4,3,3
"138",2,2,3,2,5
"139",6,6,6,6,6
"140",2,2,1,3,1
"141",2,4,3,3,2
"142",5,3,2,4,4
"143",4,4,4,5,1
"144",1,2,1,2,1
"145",2,4,1,2,1
"146",4,4,4,4,2
"147",5,5,5,3,2
"148",4,5,6,3,4
"149",6,6,4,5,6
"150",2,4,5,5,1
"151",4,4,3,3,2
"152",3,4,5,4,5
"153",5,6,5,4,2
"154",2,5,3,3,2
"155",3,3,3,2,4
"156",4,4,2,2,2
"157",4,6,2,1,4
"158",1,1,1,4,2
"159",4,2,4,5,3
"160",2,4,4,2,5
"161",1,2,6,5,5
"162",6,4,5,4,2
"163",3,5,2,4,4
"164",4,4,4,4,2
"165",4,4,4,4,2
"166",1,1,1,1,2
"167",5,5,5,5,4
"168",5,5,5,4,3
"169",4,4,5,3,1
"170",6,6,5,4,6
"171",4,5,5,4,4
"172",4,5,5,3,1
"173",4,5,3,4,2
"174",3,6,5,NA,1
"175",4,5,4,4,3
"176",3,5,4,5,4
"177",1,2,1,1,1
"178",1,2,4,2,1
"179",2,2,3,3,3
"180",6,4,5,3,6
"181",1,2,2,4,3
"182",3,3,3,3,3
"183",1,2,1,2,1
"184",1,2,6,3,4
"185",2,6,2,1,2
"186",2,3,3,4,2
"187",1,1,3,3,3
"188",1,5,1,2,1
"189",4,4,5,2,6
"190",1,1,1,NA,1
"191",3,4,4,2,3
"192",2,2,1,2,2
"193",5,4,4,4,5
"194",4,NA,5,5,4
"195",3,4,2,NA,1
"196",1,1,1,1,1
"197",1,2,2,5,3
"198",3,4,3,4,3
"199",3,2,3,5,3
"200",3,5,5,4,4
"201",3,4,3,4,5
"202",1,5,5,2,1
"203",2,3,2,2,1
